year;month;landing_obligation;fleet_segment
2006;Jan;N;DTS_VL1218
2006;Feb;N;DTS_VL1218
2006;Mar;N;DTS_VL1218
2006;Apr;N;DTS_VL1218
2006;May;N;DTS_VL1218
2006;Jun;N;DTS_VL1218
2006;Jul;N;DTS_VL1218
2006;Aug;N;DTS_VL1218
2006;Set;N;DTS_VL1218
2006;Oct;N;DTS_VL1218
2006;Nov;N;DTS_VL1218
2006;Dec;N;DTS_VL1218
2007;Jan;N;DTS_VL1218
2007;Feb;N;DTS_VL1218
2007;Mar;N;DTS_VL1218
2007;Apr;N;DTS_VL1218
2007;May;N;DTS_VL1218
2007;Jun;N;DTS_VL1218
2007;Jul;N;DTS_VL1218
2007;Aug;N;DTS_VL1218
2007;Set;N;DTS_VL1218
2007;Oct;N;DTS_VL1218
2007;Nov;N;DTS_VL1218
2007;Dec;N;DTS_VL1218
2008;Jan;N;DTS_VL1218
2008;Feb;N;DTS_VL1218
2008;Mar;N;DTS_VL1218
2008;Apr;N;DTS_VL1218
2008;May;N;DTS_VL1218
2008;Jun;N;DTS_VL1218
2008;Jul;N;DTS_VL1218
2008;Aug;N;DTS_VL1218
2008;Set;N;DTS_VL1218
2008;Oct;N;DTS_VL1218
2008;Nov;N;DTS_VL1218
2008;Dec;N;DTS_VL1218
2009;Jan;N;DTS_VL1218
2009;Feb;N;DTS_VL1218
2009;Mar;N;DTS_VL1218
2009;Apr;N;DTS_VL1218
2009;May;N;DTS_VL1218
2009;Jun;N;DTS_VL1218
2009;Jul;N;DTS_VL1218
2009;Aug;N;DTS_VL1218
2009;Set;N;DTS_VL1218
2009;Oct;N;DTS_VL1218
2009;Nov;N;DTS_VL1218
2009;Dec;N;DTS_VL1218
2010;Jan;N;DTS_VL1218
2010;Feb;N;DTS_VL1218
2010;Mar;N;DTS_VL1218
2010;Apr;N;DTS_VL1218
2010;May;N;DTS_VL1218
2010;Jun;N;DTS_VL1218
2010;Jul;N;DTS_VL1218
2010;Aug;N;DTS_VL1218
2010;Set;N;DTS_VL1218
2010;Oct;N;DTS_VL1218
2010;Nov;N;DTS_VL1218
2010;Dec;N;DTS_VL1218
2011;Jan;N;DTS_VL1218
2011;Feb;N;DTS_VL1218
2011;Mar;N;DTS_VL1218
2011;Apr;N;DTS_VL1218
2011;May;N;DTS_VL1218
2011;Jun;N;DTS_VL1218
2011;Jul;N;DTS_VL1218
2011;Aug;N;DTS_VL1218
2011;Set;N;DTS_VL1218
2011;Oct;N;DTS_VL1218
2011;Nov;N;DTS_VL1218
2011;Dec;N;DTS_VL1218
2012;Jan;N;DTS_VL1218
2012;Feb;N;DTS_VL1218
2012;Mar;N;DTS_VL1218
2012;Apr;N;DTS_VL1218
2012;May;N;DTS_VL1218
2012;Jun;N;DTS_VL1218
2012;Jul;N;DTS_VL1218
2012;Aug;N;DTS_VL1218
2012;Set;N;DTS_VL1218
2012;Oct;N;DTS_VL1218
2012;Nov;N;DTS_VL1218
2012;Dec;N;DTS_VL1218
2013;Jan;N;DTS_VL1218
2013;Feb;N;DTS_VL1218
2013;Mar;N;DTS_VL1218
2013;Apr;N;DTS_VL1218
2013;May;N;DTS_VL1218
2013;Jun;N;DTS_VL1218
2013;Jul;N;DTS_VL1218
2013;Aug;N;DTS_VL1218
2013;Set;N;DTS_VL1218
2013;Oct;N;DTS_VL1218
2013;Nov;N;DTS_VL1218
2013;Dec;N;DTS_VL1218
2014;Jan;N;DTS_VL1218
2014;Feb;N;DTS_VL1218
2014;Mar;N;DTS_VL1218
2014;Apr;N;DTS_VL1218
2014;May;N;DTS_VL1218
2014;Jun;N;DTS_VL1218
2014;Jul;N;DTS_VL1218
2014;Aug;N;DTS_VL1218
2014;Set;N;DTS_VL1218
2014;Oct;N;DTS_VL1218
2014;Nov;N;DTS_VL1218
2014;Dec;N;DTS_VL1218
2015;Jan;N;DTS_VL1218
2015;Feb;N;DTS_VL1218
2015;Mar;N;DTS_VL1218
2015;Apr;N;DTS_VL1218
2015;May;N;DTS_VL1218
2015;Jun;N;DTS_VL1218
2015;Jul;N;DTS_VL1218
2015;Aug;N;DTS_VL1218
2015;Set;N;DTS_VL1218
2015;Oct;N;DTS_VL1218
2015;Nov;N;DTS_VL1218
2015;Dec;N;DTS_VL1218
2016;Jan;N;DTS_VL1218
2016;Feb;N;DTS_VL1218
2016;Mar;N;DTS_VL1218
2016;Apr;N;DTS_VL1218
2016;May;N;DTS_VL1218
2016;Jun;N;DTS_VL1218
2016;Jul;N;DTS_VL1218
2016;Aug;N;DTS_VL1218
2016;Set;N;DTS_VL1218
2016;Oct;N;DTS_VL1218
2016;Nov;N;DTS_VL1218
2016;Dec;N;DTS_VL1218
2017;Jan;N;DTS_VL1218
2017;Feb;N;DTS_VL1218
2017;Mar;N;DTS_VL1218
2017;Apr;N;DTS_VL1218
2017;May;N;DTS_VL1218
2017;Jun;N;DTS_VL1218
2017;Jul;N;DTS_VL1218
2017;Aug;N;DTS_VL1218
2017;Set;N;DTS_VL1218
2017;Oct;N;DTS_VL1218
2017;Nov;N;DTS_VL1218
2017;Dec;N;DTS_VL1218
2018;Jan;N;DTS_VL1218
2018;Feb;N;DTS_VL1218
2018;Mar;N;DTS_VL1218
2018;Apr;N;DTS_VL1218
2018;May;N;DTS_VL1218
2018;Jun;N;DTS_VL1218
2018;Jul;N;DTS_VL1218
2018;Aug;N;DTS_VL1218
2018;Set;N;DTS_VL1218
2018;Oct;N;DTS_VL1218
2018;Nov;N;DTS_VL1218
2018;Dec;N;DTS_VL1218
2006;Jan;N;DTS_VL1824
2006;Feb;N;DTS_VL1824
2006;Mar;N;DTS_VL1824
2006;Apr;N;DTS_VL1824
2006;May;N;DTS_VL1824
2006;Jun;N;DTS_VL1824
2006;Jul;N;DTS_VL1824
2006;Aug;N;DTS_VL1824
2006;Set;N;DTS_VL1824
2006;Oct;N;DTS_VL1824
2006;Nov;N;DTS_VL1824
2006;Dec;N;DTS_VL1824
2007;Jan;N;DTS_VL1824
2007;Feb;N;DTS_VL1824
2007;Mar;N;DTS_VL1824
2007;Apr;N;DTS_VL1824
2007;May;N;DTS_VL1824
2007;Jun;N;DTS_VL1824
2007;Jul;N;DTS_VL1824
2007;Aug;N;DTS_VL1824
2007;Set;N;DTS_VL1824
2007;Oct;N;DTS_VL1824
2007;Nov;N;DTS_VL1824
2007;Dec;N;DTS_VL1824
2008;Jan;N;DTS_VL1824
2008;Feb;N;DTS_VL1824
2008;Mar;N;DTS_VL1824
2008;Apr;N;DTS_VL1824
2008;May;N;DTS_VL1824
2008;Jun;N;DTS_VL1824
2008;Jul;N;DTS_VL1824
2008;Aug;N;DTS_VL1824
2008;Set;N;DTS_VL1824
2008;Oct;N;DTS_VL1824
2008;Nov;N;DTS_VL1824
2008;Dec;N;DTS_VL1824
2009;Jan;N;DTS_VL1824
2009;Feb;N;DTS_VL1824
2009;Mar;N;DTS_VL1824
2009;Apr;N;DTS_VL1824
2009;May;N;DTS_VL1824
2009;Jun;N;DTS_VL1824
2009;Jul;N;DTS_VL1824
2009;Aug;N;DTS_VL1824
2009;Set;N;DTS_VL1824
2009;Oct;N;DTS_VL1824
2009;Nov;N;DTS_VL1824
2009;Dec;N;DTS_VL1824
2010;Jan;N;DTS_VL1824
